Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,United States,USA,..,4533.82633113624,8828.4764100666,9248.93430579905,9599.8910461831,9902.81865605884,10280.5266287718,10658.3976786972,11758.4246948745,12012.2412198372,12473.7910779276,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Afghanistan,AFG,..,..,202.261555308607,215.725233301209,239.188747458965,264.543988949921,299.787491486803,321.499080608947,322.499309745329,363.611184950015,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Albania,ALB,..,222.817465594539,725.737649508303,753.180070470931,811.422040321761,838.41698767324,896.791354129562,981.879024394578,1044.56861679106,1131.6691151472,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Algeria,DZA,..,296.92820570127,854.943518831439,840.585817245036,769.95845647255,759.241295702719,766.858649472508,710.995867236057,706.201365428365,672.252512956567,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Andorra,AND,..,1913.58058948824,3528.65099653714,3705.34697491463,3577.45327592859,3714.86521282625,4044.91687402188,4098.70463660706,4631.53848508703,4907.77348381542,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Angola,AGO,..,62.3554965774583,197.725444156204,189.547860937961,190.657022496049,201.436400287598,182.326688936557,173.143692510886,200.130709340097,198.546308463415,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Antigua and Barbuda,ATG,..,803.313054065652,1159.6811923681,1038.73481136304,1064.91930371026,1013.02633305997,1096.42250587857,1050.43280682188,1141.52873532371,1229.34576599789,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Argentina,ARG,..,1060.86135131933,1896.80603394286,2050.68083322739,1997.89109809041,2413.8600637696,2401.31901274169,2346.18668837546,2187.37813848273,2323.07820617451,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Armenia,ARM,..,108,1030,1025,1091,1296,1355,1698,1725,1924,..,..
