Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,United States,USA,..,685.395545090185,1058.30804163058,1089.0186523285,1118.35096227621,1130.6866455728,1164.6019319085,1205.28419713374,1167.7345626147,1285.33004727075,1335.44943973889,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Afghanistan,AFG,..,..,147.764047185105,169.090389755466,181.722071863739,199.684629319953,228.507093020007,246.970339259762,241.274501276357,280.758937797717,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Albania,ALB,..,115.451079334171,429.496567537827,431.878767602083,458.595282446714,479.413065787341,505.92140114953,553.899808373907,620.433354124045,675.654386515265,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Algeria,DZA,..,76.591187984838,227.914728485279,237.635664327866,238.456719063261,241.269206533208,242.125144424068,252.128495330307,263.675161338328,259.021154967283,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Andorra,AND,..,294.713236309789,450.601108224866,485.80744100908,449.408913858751,449.027896494254,499.074320774839,522.267127561023,516.466535884012,576.07866645372,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Angola,AGO,..,17.0259746240768,53.1410214852844,63.5424441500884,67.1282973293565,68.7321454388276,66.1193117305458,57.2362411358768,55.4839581812463,46.4862637070053,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Antigua and Barbuda,ATG,..,178.530558334976,293.905861846112,244.421454603291,293.061508349637,269.147154168343,259.415894901014,254.888573848636,250.750823093495,235.513696039969,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Argentina,ARG,..,308.756595189503,512.936330472054,531.790216102312,539.578063353836,513.828236161825,603.513608915853,561.712248756673,475.903287592652,519.586103583686,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Armenia,ARM,..,67,849,837,880,1093,1142,1440,1343,1513,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Australia,AUS,..,451.719616380654,835.73040644855,827.048617103679,857.368432241503,852.420819921859,866.064628900176,794.288038900903,888.075815176423,897.001364553941,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Austria,AUT,..,483,971,994,1054,1080,1088,1124,1087,1147,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Azerbaijan,AZE,..,67,414,439,435,404,401,440,481,484,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,"Bahamas, The",BHS,..,263.012077094621,498.316964382529,505.964572248138,513.734456705187,559.664954220023,588.536194933677,568.945479347603,468.031361022306,579.508782063686,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Bahrain,BHR,..,361.580244532154,600.698683227906,591.501757074535,615.983503061526,706.400577846191,620.534392153901,615.769218858427,622.978737744455,539.891684311992,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Bangladesh,BGD,..,17.568213693526,64.4640811095726,69.6340052859354,77.8733621077,80.1504542353398,85.8965132939366,92.6840756527053,99.0982519970082,112.089803095834,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Barbados,BRB,..,273.385611919943,473.48762674794,482.920771774148,504.036189697166,490.567045772955,484.27644545072,479.025503117158,465.175607696364,478.115716665706,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Belarus,BLR,..,49,348,388,274,279,266,295,313,305,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Belgium,BEL,..,449.668674897881,933.550654283618,952.063808378902,970.513975500947,1004.31023497775,1058.11823459262,1196.67915563839,1064.32906109321,1164.07641927925,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Belize,BLZ,..,85.3480663807162,103.38926584817,102.577606297588,100.267660354762,96.4863455186699,100.053243905538,104.485580995097,91.893226762517,109.098672143388,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Benin,BEN,..,28.0219538746738,34.3564447962733,39.1639774796211,39.631412084055,39.7509682633852,40.9118949107494,42.0081251252159,42.672392392018,47.2658509357182,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Bhutan,BTN,..,13.4584424939775,60.0549345513413,65.9437554628512,69.8059406588258,46.6423143891096,47.9598768909795,76.3473650353725,76.2234155502197,83.0550019346912,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Bolivia,BOL,..,49.5457964035662,126.10806217907,125.163835981048,140.655995505471,134.194770354971,126.563554485581,146.888140227729,135.812604040907,164.125850862395,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Bosnia and Herzegovina,BIH,..,139,305,315,337,349,380,422,444,520,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Botswana,BWA,..,59.5878282349877,31.3413513247094,29.3036779485944,29.1468405558489,29.0861251143447,47.244574004824,43.3664634010177,43.3056258703273,47.1557663933329,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Brazil,BRA,..,274.322344114123,370.650817720385,323.421986942402,318.138639558982,335.512772450882,351.716009103111,366.104226918696,349.442447700818,368.24163891568,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Brunei Darussalam,BRN,..,295.94068618236,112.370358057418,73.1013861062085,70.4008933906588,73.9248443011366,71.5965540925294,78.5537429805394,92.6290399415965,98.2650150498583,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Bulgaria,BGR,..,151,543,576,645,676,661,672,760,812,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Burkina Faso,BFA,..,11.189336735876,27.9105639758988,30.6552319292007,34.2621328720031,37.9508857187109,37.6675084944397,40.5805965495238,49.740227169866,52.90953879197,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Burundi,BDI,..,13.7412413882289,16.2933777779539,15.6493122641253,15.3560232566766,15.1363517860713,14.9944891822241,15.2897424401076,16.4520654015318,17.8795360240224,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Cabo Verde,CPV,..,32.2884536410887,74.6879819449347,76.1947767917285,83.6374532379448,90.7663135221259,90.7200649207184,96.5408010973854,85.0945052175555,93.6201329411232,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Cambodia,KHM,..,48.369571167628,125.662579831653,121.154224565247,132.827777610173,130.744896064583,159.717539685578,205.213498567918,199.038036888168,197.959675035079,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Cameroon,CMR,..,66.4067232978593,82.3208583650571,86.4421559779324,89.484453328737,94.7859256893921,99.9618328318504,103.201947809439,99.6861075653352,104.096832399209,..,..
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Canada,CAN,..,402.181155675789,692.605981096168,706.200745518518,801.6751063517,835.169347367958,850.889261182592,849.693431035139,850.699117509557,918.846162507433,959.163627807175,..
