Country Name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Country Code_x,Life Expectancy,Code,Health Expenditure (% GDP),Country Code_y,OOP Expenditure,Country Code,Current Health Expenditure
Australia,2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,AUS,82.4,AUS,6.985,AUS,827.048617103679,AUS,4807.89635171632
Australia,2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,AUS,82.4487804878049,AUS,6.942,AUS,857.368432241503,AUS,5059.24596164933
Australia,2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,AUS,82.5,AUS,6.991,AUS,852.420819921859,AUS,5133.73032477183
Australia,2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,AUS,82.7487804878049,AUS,7.009,AUS,866.064628900176,AUS,5331.50783540381
Australia,2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,AUS,82.9,AUS,7.361,AUS,794.288038900903,AUS,5390.86315420617
Australia,2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,AUS,83.2,AUS,7.612,AUS,888.075815176423,AUS,5955.18719180224
Canada,2015,7.413,10.769,0.939,71.1,0.931,0.247,0.427,0.792,0.286,CAN,81.8156097560976,CAN,7.591,CAN,706.200745518518,CAN,4793.06242283962
Canada,2016,7.245,10.768,0.924,71.15,0.912,0.205,0.385,0.768,0.237,CAN,81.9248780487805,CAN,7.688,CAN,801.6751063517,CAN,5126.21964690082
Canada,2017,7.415,10.786,0.934,71.2,0.945,0.157,0.362,0.799,0.218,CAN,81.8329268292683,CAN,7.574,CAN,835.169347367958,CAN,5268.3075613014
Canada,2018,7.175,10.799,0.923,71.25,0.946,0.1,0.372,0.773,0.259,CAN,81.8439024390244,CAN,7.577,CAN,850.889261182592,CAN,5456.31435127905
Canada,2019,7.109,10.803,0.925,71.3,0.912,0.105,0.436,0.781,0.285,CAN,82.2239024390244,CAN,7.641,CAN,849.693431035139,CAN,5497.48703168996
Canada,2020,7.025,10.74,0.931,71.35,0.887,0.043,0.434,0.738,0.307,CAN,81.6604878048781,CAN,9.701,CAN,850.699117509557,CAN,6175.25973280269
Canada,2021,6.939,10.783,0.926,71.4,0.898,0.189,0.384,0.763,0.276,CAN,81.5870731707317,CAN,8.695,CAN,918.846162507433,CAN,6552.21935394823
China,2015,5.304,9.442,0.794,68.0,,-0.25,,0.667,0.171,CHN,76.977,CHN,2.986,CHN,222.306307793897,CHN,633.544695266337
China,2016,5.325,9.503,0.742,68.125,,-0.233,,0.683,0.146,CHN,77.218,CHN,2.892,CHN,238.521323930989,CHN,664.290359967466
China,2017,5.099,9.564,0.772,68.25,0.878,-0.18,,0.682,0.214,CHN,77.248,CHN,2.86,CHN,256.588997834265,CHN,711.750561442244
China,2018,5.131,9.625,0.788,68.375,0.895,-0.164,,0.722,0.19,CHN,77.744,CHN,2.914,CHN,282.316031844437,CHN,789.684853595374
China,2019,5.144,9.679,0.822,68.5,0.927,-0.178,,0.76,0.147,CHN,77.968,CHN,3.002,CHN,312.080217657726,CHN,885.836048204488
Finland,2015,7.448,10.716,0.948,70.7,0.93,0.105,0.223,0.736,0.191,FIN,81.4804878048781,FIN,7.421,FIN,764,FIN,4099
Finland,2016,7.66,10.741,0.954,70.775,0.948,-0.033,0.25,0.769,0.182,FIN,81.4292682926829,FIN,7.148,FIN,812,FIN,4214
Finland,2017,7.788,10.77,0.964,70.85,0.962,-0.008,0.192,0.756,0.176,FIN,81.6317073170732,FIN,6.974,FIN,827,FIN,4342
Finland,2018,7.858,10.78,0.962,70.925,0.938,-0.133,0.199,0.749,0.182,FIN,81.7341463414634,FIN,6.959,FIN,827,FIN,4485
Finland,2019,7.78,10.791,0.937,71.0,0.948,-0.058,0.195,0.732,0.181,FIN,81.9829268292683,FIN,7.136,FIN,828,FIN,4752
